'Hour (Coded)','Immobilized bus','Broken Truck','Vehicle excess','Accident victim','Running over','Fire vehicles','Occurrence involving freight','Incident involving dangerous freight','Lack of electricity',Fire,'Point of flooding',Manifestations,'Defect in the network of trolleybuses','Tree on the road','Semaphore off','Intermittent Semaphore','Slowness in traffic (\%)'
'\'(3.6-6.2]\'','\'(0.8-1.2]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(0.8-1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'',5
'\'(3.6-6.2]\'','\'(0.8-1.2]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(0.9-inf)\'','\'(-inf-0.8]\'','\'(0.9-inf)\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',7
'\'(3.6-6.2]\'','\'(-inf-0.4]\'','\'(3.5-4]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',7
'\'(6.2-8.8]\'','\'(-inf-0.4]\'','\'(1.5-2]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'',6
'\'(6.2-8.8]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',6
'\'(8.8-11.4]\'','\'(-inf-0.4]\'','\'(1.5-2]\'','\'(-inf-0.1]\'','\'(1.8-2.1]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',6
'\'(8.8-11.4]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',7
'\'(8.8-11.4]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',8
'\'(11.4-14]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',8
'\'(11.4-14]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(1.8-2.1]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',8
'\'(11.4-14]\'','\'(-inf-0.4]\'','\'(1.5-2]\'','\'(-inf-0.1]\'','\'(2.7-inf)\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',6
'\'(14-16.6]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',6
'\'(14-16.6]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',8
'\'(16.6-19.2]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',9
'\'(16.6-19.2]\'','\'(1.6-2]\'','\'(3.5-4]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',10
'\'(16.6-19.2]\'','\'(0.8-1.2]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(0.8-1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',12
'\'(19.2-21.8]\'','\'(-inf-0.4]\'','\'(1.5-2]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(0.8-1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(0.7-1.4]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',13
'\'(19.2-21.8]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(1.6-2]\'','\'(-inf-0.1]\'',15
'\'(21.8-24.4]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'',17
'\'(21.8-24.4]\'','\'(0.8-1.2]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(0.7-1.4]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',19
'\'(21.8-24.4]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(2.8-3.5]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'',20
'\'(24.4-inf)\'','\'(0.8-1.2]\'','\'(2.5-3]\'','\'(-inf-0.1]\'','\'(1.8-2.1]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(3.6-inf)\'','\'(-inf-0.1]\'','\'(0.7-1.4]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(3.6-inf)\'','\'(-inf-0.1]\'',22
'\'(24.4-inf)\'','\'(0.8-1.2]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(2.8-3.2]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',23
'\'(24.4-inf)\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',19
'\'(-inf-3.6]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(0.9-inf)\'','\'(2.4-3.2]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',4
'\'(-inf-3.6]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',5
'\'(-inf-3.6]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'',5
'\'(3.6-6.2]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',5
'\'(3.6-6.2]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',8
'\'(3.6-6.2]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',7
'\'(6.2-8.8]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(0.8-1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(0.9-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',7
'\'(6.2-8.8]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(0.8-1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(0.9-inf)\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',6
'\'(8.8-11.4]\'','\'(0.8-1.2]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',7
'\'(8.8-11.4]\'','\'(1.6-2]\'','\'(1.5-2]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(1.8-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',7
'\'(8.8-11.4]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',7
'\'(11.4-14]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',7
'\'(11.4-14]\'','\'(1.6-2]\'','\'(1.5-2]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(0.9-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',10
'\'(11.4-14]\'','\'(-inf-0.4]\'','\'(2.5-3]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',10
'\'(14-16.6]\'','\'(0.8-1.2]\'','\'(1.5-2]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(0.9-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'',11
'\'(14-16.6]\'','\'(-inf-0.4]\'','\'(2.5-3]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',12
'\'(16.6-19.2]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',12
'\'(16.6-19.2]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',10
'\'(16.6-19.2]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(0.9-inf)\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',9
'\'(19.2-21.8]\'','\'(0.8-1.2]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',11
'\'(19.2-21.8]\'','\'(0.8-1.2]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',12
'\'(21.8-24.4]\'','\'(1.6-2]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(0.8-1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',13
'\'(21.8-24.4]\'','\'(0.8-1.2]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',15
'\'(21.8-24.4]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',18
'\'(24.4-inf)\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',19
'\'(24.4-inf)\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(2.8-3.5]\'','\'(0.9-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',21
'\'(24.4-inf)\'','\'(-inf-0.4]\'','\'(2.5-3]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(6.3-inf)\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'',22
'\'(-inf-3.6]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(7.2-inf)\'','\'(-inf-0.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'',3
'\'(-inf-3.6]\'','\'(-inf-0.4]\'','\'(-inf-0.5]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',5
'\'(-inf-3.6]\'','\'(-inf-0.4]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',5
'\'(3.6-6.2]\'','\'(0.8-1.2]\'','\'(0.5-1]\'','\'(-inf-0.1]\'','\'(0.9-1.2]\'','\'(0.8-1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',6
'\'(3.6-6.2]\'','\'(-inf-0.4]\'','\'(1.5-2]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(0.9-inf)\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',8
'\'(3.6-6.2]\'','\'(1.6-2]\'','\'(1.5-2]\'','\'(0.9-inf)\'','\'(0.9-1.2]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',9
'\'(6.2-8.8]\'','\'(-inf-0.4]\'','\'(2.5-3]\'','\'(-inf-0.1]\'','\'(-inf-0.3]\'','\'(-inf-0.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.7]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-0.1]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'',10
