'X1 transaction date','X2 house age','X3 distance to the nearest MRT station','X4 number of convenience stores','X5 latitude','X6 longitude','Y house price of unit area'
'\'(-inf-2012.7586]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',43.2
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(3255.70192-3902.165736]\'','\'(-inf-1]\'','\'(-inf-24.940322]\'','\'(121.510626-121.5199]\'',45.1
'\'(-inf-2012.7586]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',39.7
'\'(2013.2166-2013.3082]\'','\'(35.04-39.42]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',48.5
'\'(2013.4914-inf)\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',44.7
'\'(2013.3082-2013.3998]\'','\'(8.76-13.14]\'','\'(1316.310472-1962.774288]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.547722-121.556996]\'',28.9
'\'(2013.2166-2013.3082]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.948574-24.956826]\'','\'(121.529174-121.538448]\'',40.9
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.940322-24.948574]\'','\'(121.501352-121.510626]\'',20.7
'\'(2013.125-2013.2166]\'','\'(13.14-17.52]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.940322-24.948574]\'','\'(121.501352-121.510626]\'',15.6
'\'(2013.4914-inf)\'','\'(30.66-35.04]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.529174-121.538448]\'',18.3
'\'(2013.2166-2013.3082]\'','\'(13.14-17.52]\'','\'(669.846656-1316.310472]\'','\'(3-4]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',35.6
'\'(2012.9418-2013.0334]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',39.4
'\'(-inf-2012.7586]\'','\'(13.14-17.52]\'','\'(669.846656-1316.310472]\'','\'(3-4]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',37.4
'\'(2012.8502-2012.9418]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.956826-24.965078]\'','\'(121.529174-121.538448]\'',57.8
'\'(2013.3998-2013.4914]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(2-3]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',39.6
'\'(-inf-2012.7586]\'','\'(13.14-17.52]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.940322-24.948574]\'','\'(121.501352-121.510626]\'',11.6
'\'(2013.4914-inf)\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',55.5
'\'(2012.7586-2012.8502]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.965078-24.97333]\'','\'(121.529174-121.538448]\'',55.2
'\'(2012.8502-2012.9418]\'','\'(13.14-17.52]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.547722-121.556996]\'',30.6
'\'(2013.3998-2013.4914]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',73.6
'\'(2013.3998-2013.4914]\'','\'(26.28-30.66]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',43.4
'\'(2013.0334-2013.125]\'','\'(26.28-30.66]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.956826-24.965078]\'','\'(121.538448-121.547722]\'',37.4
'\'(2013.3998-2013.4914]\'','\'(4.38-8.76]\'','\'(1316.310472-1962.774288]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.547722-121.556996]\'',23.5
'\'(2013.3082-2013.3998]\'','\'(21.9-26.28]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.940322-24.948574]\'','\'(121.492078-121.501352]\'',14.4
'\'(2013.0334-2013.125]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',58.8
'\'(2013.4914-inf)\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',58.1
'\'(2013.0334-2013.125]\'','\'(39.42-inf)\'','\'(-inf-669.846656]\'','\'(3-4]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',35.1
'\'(2013.3998-2013.4914]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',45.2
'\'(2013.0334-2013.125]\'','\'(26.28-30.66]\'','\'(-inf-669.846656]\'','\'(2-3]\'','\'(24.965078-24.97333]\'','\'(121.529174-121.538448]\'',36.5
'\'(2012.7586-2012.8502]\'','\'(13.14-17.52]\'','\'(4548.629552-5195.093368]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.492078-121.501352]\'',19.2
'\'(2013.0334-2013.125]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',42
'\'(2013.4914-inf)\'','\'(8.76-13.14]\'','\'(669.846656-1316.310472]\'','\'(3-4]\'','\'(24.989834-24.998086]\'','\'(121.529174-121.538448]\'',36.7
'\'(2013.0334-2013.125]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.5199-121.529174]\'',42.6
'\'(-inf-2012.7586]\'','\'(26.28-30.66]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.492078-121.501352]\'',15.5
'\'(2013.125-2013.2166]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',55.9
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',23.6
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.940322-24.948574]\'','\'(121.501352-121.510626]\'',18.8
'\'(-inf-2012.7586]\'','\'(13.14-17.52]\'','\'(2609.238104-3255.70192]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.556996-inf)\'',21.8
'\'(-inf-2012.7586]\'','\'(30.66-35.04]\'','\'(1316.310472-1962.774288]\'','\'(2-3]\'','\'(24.965078-24.97333]\'','\'(121.510626-121.5199]\'',21.5
'\'(2013.125-2013.2166]\'','\'(17.52-21.9]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',25.7
'\'(2012.9418-2013.0334]\'','\'(8.76-13.14]\'','\'(2609.238104-3255.70192]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.556996-inf)\'',22
'\'(2012.8502-2012.9418]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',44.3
'\'(2012.8502-2012.9418]\'','\'(13.14-17.52]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.940322-24.948574]\'','\'(121.501352-121.510626]\'',20.5
'\'(2013.4914-inf)\'','\'(35.04-39.42]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',42.3
'\'(2013.125-2013.2166]\'','\'(13.14-17.52]\'','\'(669.846656-1316.310472]\'','\'(1-2]\'','\'(24.97333-24.981582]\'','\'(121.547722-121.556996]\'',37.8
'\'(2013.125-2013.2166]\'','\'(39.42-inf)\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',42.7
'\'(2013.3998-2013.4914]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',49.3
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(3255.70192-3902.165736]\'','\'(-inf-1]\'','\'(-inf-24.940322]\'','\'(121.510626-121.5199]\'',29.3
'\'(2013.3082-2013.3998]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.948574-24.956826]\'','\'(121.538448-121.547722]\'',34.6
'\'(2012.9418-2013.0334]\'','\'(21.9-26.28]\'','\'(669.846656-1316.310472]\'','\'(1-2]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',36.6
'\'(2013.2166-2013.3082]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',48.2
'\'(2013.0334-2013.125]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',39.1
'\'(2013.3998-2013.4914]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',31.6
'\'(2013.3998-2013.4914]\'','\'(13.14-17.52]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.956826-24.965078]\'','\'(121.547722-121.556996]\'',25.5
'\'(2013.3998-2013.4914]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',45.9
'\'(2012.8502-2012.9418]\'','\'(35.04-39.42]\'','\'(-inf-669.846656]\'','\'(2-3]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',31.5
'\'(-inf-2012.7586]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',46.1
'\'(2012.9418-2013.0334]\'','\'(17.52-21.9]\'','\'(1316.310472-1962.774288]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.547722-121.556996]\'',26.6
'\'(2013.0334-2013.125]\'','\'(8.76-13.14]\'','\'(1316.310472-1962.774288]\'','\'(2-3]\'','\'(24.965078-24.97333]\'','\'(121.510626-121.5199]\'',21.4
'\'(2013.2166-2013.3082]\'','\'(21.9-26.28]\'','\'(-inf-669.846656]\'','\'(9-inf)\'','\'(24.981582-24.989834]\'','\'(121.529174-121.538448]\'',44
'\'(2013.0334-2013.125]\'','\'(35.04-39.42]\'','\'(-inf-669.846656]\'','\'(2-3]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',34.2
'\'(-inf-2012.7586]\'','\'(8.76-13.14]\'','\'(1316.310472-1962.774288]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.547722-121.556996]\'',26.2
'\'(2012.7586-2012.8502]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',40.9
'\'(2013.4914-inf)\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',52.2
'\'(2013.0334-2013.125]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',43.5
'\'(2013.3082-2013.3998]\'','\'(17.52-21.9]\'','\'(1316.310472-1962.774288]\'','\'(1-2]\'','\'(24.981582-24.989834]\'','\'(121.5199-121.529174]\'',31.1
'\'(2013.0334-2013.125]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',58
'\'(2013.4914-inf)\'','\'(17.52-21.9]\'','\'(1316.310472-1962.774288]\'','\'(2-3]\'','\'(24.965078-24.97333]\'','\'(121.510626-121.5199]\'',20.9
'\'(2013.3082-2013.3998]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',48.1
'\'(2013.2166-2013.3082]\'','\'(35.04-39.42]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.965078-24.97333]\'','\'(121.529174-121.538448]\'',39.7
'\'(2012.8502-2012.9418]\'','\'(26.28-30.66]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',40.8
'\'(2013.3998-2013.4914]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.965078-24.97333]\'','\'(121.529174-121.538448]\'',43.8
'\'(-inf-2012.7586]\'','\'(26.28-30.66]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',40.2
'\'(2013.3082-2013.3998]\'','\'(35.04-39.42]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',78.3
'\'(2013.3082-2013.3998]\'','\'(8.76-13.14]\'','\'(1316.310472-1962.774288]\'','\'(-inf-1]\'','\'(24.981582-24.989834]\'','\'(121.5199-121.529174]\'',38.5
'\'(2013.4914-inf)\'','\'(26.28-30.66]\'','\'(-inf-669.846656]\'','\'(9-inf)\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',48.5
'\'(2013.2166-2013.3082]\'','\'(8.76-13.14]\'','\'(1316.310472-1962.774288]\'','\'(-inf-1]\'','\'(24.981582-24.989834]\'','\'(121.5199-121.529174]\'',42.3
'\'(2013.3082-2013.3998]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',46
'\'(2013.2166-2013.3082]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',49
'\'(2012.9418-2013.0334]\'','\'(13.14-17.52]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.940322-24.948574]\'','\'(121.501352-121.510626]\'',12.8
'\'(2012.8502-2012.9418]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',40.2
'\'(2013.3998-2013.4914]\'','\'(8.76-13.14]\'','\'(2609.238104-3255.70192]\'','\'(-inf-1]\'','\'(24.998086-25.006338]\'','\'(121.510626-121.5199]\'',46.6
'\'(2013.4914-inf)\'','\'(30.66-35.04]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.529174-121.538448]\'',19
'\'(2013.4914-inf)\'','\'(-inf-4.38]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',33.4
'\'(2012.7586-2012.8502]\'','\'(13.14-17.52]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.940322-24.948574]\'','\'(121.501352-121.510626]\'',14.7
'\'(2012.8502-2012.9418]\'','\'(26.28-30.66]\'','\'(3902.165736-4548.629552]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.492078-121.501352]\'',17.4
'\'(2013.3082-2013.3998]\'','\'(39.42-inf)\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',32.4
'\'(2013.2166-2013.3082]\'','\'(4.38-8.76]\'','\'(1962.774288-2609.238104]\'','\'(3-4]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',23.9
'\'(-inf-2012.7586]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',39.3
'\'(2013.125-2013.2166]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(9-inf)\'','\'(24.981582-24.989834]\'','\'(121.529174-121.538448]\'',61.9
'\'(2013.125-2013.2166]\'','\'(8.76-13.14]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.5199-121.529174]\'',39
'\'(2013.0334-2013.125]\'','\'(8.76-13.14]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.5199-121.529174]\'',40.6
'\'(2013.4914-inf)\'','\'(17.52-21.9]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.956826-24.965078]\'','\'(121.538448-121.547722]\'',29.7
'\'(2013.0334-2013.125]\'','\'(8.76-13.14]\'','\'(1316.310472-1962.774288]\'','\'(1-2]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',28.8
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',41.4
'\'(2012.7586-2012.8502]\'','\'(-inf-4.38]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',33.4
'\'(2013.3998-2013.4914]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',48.2
'\'(2013.0334-2013.125]\'','\'(4.38-8.76]\'','\'(1316.310472-1962.774288]\'','\'(2-3]\'','\'(24.965078-24.97333]\'','\'(121.510626-121.5199]\'',21.7
'\'(2013.3998-2013.4914]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.965078-24.97333]\'','\'(121.547722-121.556996]\'',40.8
'\'(2013.3998-2013.4914]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.956826-24.965078]\'','\'(121.538448-121.547722]\'',40.6
'\'(2013.3082-2013.3998]\'','\'(17.52-21.9]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.956826-24.965078]\'','\'(121.547722-121.556996]\'',23.1
'\'(2012.9418-2013.0334]\'','\'(17.52-21.9]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.956826-24.965078]\'','\'(121.547722-121.556996]\'',22.3
'\'(2012.7586-2012.8502]\'','\'(17.52-21.9]\'','\'(5841.557184-inf)\'','\'(-inf-1]\'','\'(24.956826-24.965078]\'','\'(-inf-121.482804]\'',15
'\'(2013.125-2013.2166]\'','\'(35.04-39.42]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',30
'\'(2012.8502-2012.9418]\'','\'(30.66-35.04]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.529174-121.538448]\'',13.8
'\'(2012.7586-2012.8502]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',52.7
'\'(-inf-2012.7586]\'','\'(26.28-30.66]\'','\'(1316.310472-1962.774288]\'','\'(1-2]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',25.9
'\'(-inf-2012.7586]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',51.8
'\'(2013.3998-2013.4914]\'','\'(30.66-35.04]\'','\'(5195.093368-5841.557184]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.482804-121.492078]\'',17.4
'\'(-inf-2012.7586]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',26.5
'\'(2013.2166-2013.3082]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.5199-121.529174]\'',43.9
'\'(2013.3998-2013.4914]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',63.3
'\'(2013.0334-2013.125]\'','\'(17.52-21.9]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.956826-24.965078]\'','\'(121.538448-121.547722]\'',28.8
'\'(2013.2166-2013.3082]\'','\'(13.14-17.52]\'','\'(1316.310472-1962.774288]\'','\'(3-4]\'','\'(24.965078-24.97333]\'','\'(121.510626-121.5199]\'',30.7
'\'(2013.125-2013.2166]\'','\'(13.14-17.52]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',24.4
'\'(2012.8502-2012.9418]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',53
'\'(2013.3998-2013.4914]\'','\'(-inf-4.38]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',31.7
'\'(2013.125-2013.2166]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',40.6
'\'(2012.7586-2012.8502]\'','\'(13.14-17.52]\'','\'(669.846656-1316.310472]\'','\'(3-4]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',38.1
'\'(2013.2166-2013.3082]\'','\'(17.52-21.9]\'','\'(1316.310472-1962.774288]\'','\'(2-3]\'','\'(24.965078-24.97333]\'','\'(121.510626-121.5199]\'',23.7
'\'(2012.7586-2012.8502]\'','\'(30.66-35.04]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',41.1
'\'(2013.3998-2013.4914]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',40.1
'\'(2012.9418-2013.0334]\'','\'(17.52-21.9]\'','\'(669.846656-1316.310472]\'','\'(-inf-1]\'','\'(24.956826-24.965078]\'','\'(121.538448-121.547722]\'',23
'\'(2013.3082-2013.3998]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',117.5
'\'(2012.8502-2012.9418]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(7-8]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',26.5
'\'(-inf-2012.7586]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.965078-24.97333]\'','\'(121.529174-121.538448]\'',40.5
'\'(2013.3998-2013.4914]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',29.3
'\'(2013.125-2013.2166]\'','\'(26.28-30.66]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',41
'\'(-inf-2012.7586]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',49.7
'\'(2012.9418-2013.0334]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.948574-24.956826]\'','\'(121.538448-121.547722]\'',34
'\'(2013.3998-2013.4914]\'','\'(17.52-21.9]\'','\'(1962.774288-2609.238104]\'','\'(2-3]\'','\'(24.956826-24.965078]\'','\'(121.510626-121.5199]\'',27.7
'\'(-inf-2012.7586]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.948574-24.956826]\'','\'(121.529174-121.538448]\'',44
'\'(2013.3998-2013.4914]\'','\'(-inf-4.38]\'','\'(1316.310472-1962.774288]\'','\'(2-3]\'','\'(24.965078-24.97333]\'','\'(121.510626-121.5199]\'',31.1
'\'(2013.2166-2013.3082]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',45.4
'\'(2013.3082-2013.3998]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',44.8
'\'(2012.8502-2012.9418]\'','\'(-inf-4.38]\'','\'(1316.310472-1962.774288]\'','\'(-inf-1]\'','\'(24.948574-24.956826]\'','\'(121.547722-121.556996]\'',25.6
'\'(2013.3998-2013.4914]\'','\'(30.66-35.04]\'','\'(1962.774288-2609.238104]\'','\'(1-2]\'','\'(24.981582-24.989834]\'','\'(121.510626-121.5199]\'',23.5
'\'(2012.8502-2012.9418]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',34.4
'\'(2013.125-2013.2166]\'','\'(26.28-30.66]\'','\'(669.846656-1316.310472]\'','\'(2-3]\'','\'(24.97333-24.981582]\'','\'(121.529174-121.538448]\'',55.3
'\'(2012.8502-2012.9418]\'','\'(4.38-8.76]\'','\'(-inf-669.846656]\'','\'(8-9]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',56.3
'\'(2012.9418-2013.0334]\'','\'(17.52-21.9]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.948574-24.956826]\'','\'(121.538448-121.547722]\'',32.9
'\'(2013.4914-inf)\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(5-6]\'','\'(24.97333-24.981582]\'','\'(121.538448-121.547722]\'',51
'\'(2013.3082-2013.3998]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.981582-24.989834]\'','\'(121.538448-121.547722]\'',44.5
'\'(2013.0334-2013.125]\'','\'(35.04-39.42]\'','\'(-inf-669.846656]\'','\'(-inf-1]\'','\'(24.965078-24.97333]\'','\'(121.529174-121.538448]\'',37
'\'(2012.7586-2012.8502]\'','\'(-inf-4.38]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.956826-24.965078]\'','\'(121.529174-121.538448]\'',54.4
'\'(2013.0334-2013.125]\'','\'(13.14-17.52]\'','\'(-inf-669.846656]\'','\'(4-5]\'','\'(24.948574-24.956826]\'','\'(121.529174-121.538448]\'',24.5
'\'(-inf-2012.7586]\'','\'(8.76-13.14]\'','\'(-inf-669.846656]\'','\'(6-7]\'','\'(24.965078-24.97333]\'','\'(121.538448-121.547722]\'',42.5
