X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',sep,sun,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(690.06-775.33]\'','\'(-inf-5.61]\'','\'(17.75-20.86]\'','\'(57.5-66]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',feb,sat,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(11.53-14.64]\'','\'(40.5-49]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',mar,sat,'\'(65.2-72.95]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(14.64-17.75]\'','\'(23.5-32]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',aug,sun,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(83-91.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',aug,sun,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',aug,sun,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',aug,tue,'\'(88.45-inf)\'','\'(146.2-175.22]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(57.5-66]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(3.4-4.1]\'',aug,tue,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(16.83-22.44]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(3.4-4.1]\'',sep,sat,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(23.97-27.08]\'','\'(23.5-32]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(3.4-4.1]\'',jan,sat,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(-inf-5.31]\'','\'(74.5-83]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(4.8-5.5]\'',mar,fri,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(11.53-14.64]\'','\'(49-57.5]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(4.8-5.5]\'',mar,thu,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(23.5-32]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(4.8-5.5]\'',aug,sun,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(4.8-5.5]\'',sep,sat,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(4.8-5.5]\'',sep,mon,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(49-57.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',mar,fri,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(11.53-14.64]\'','\'(40.5-49]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',mar,fri,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(-inf-23.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',sep,sun,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(690.06-775.33]\'','\'(-inf-5.61]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',sep,mon,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',mar,tue,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(14.64-17.75]\'','\'(23.5-32]\'','\'(6.7-7.6]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(4.8-5.5]\'',mar,tue,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(14.64-17.75]\'','\'(23.5-32]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',mar,sat,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(23.5-32]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',mar,sat,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(23.5-32]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',mar,mon,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(8.42-11.53]\'','\'(23.5-32]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',aug,thu,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(434.25-519.52]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',aug,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(8.42-11.53]\'','\'(66-74.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',aug,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',sep,sun,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(40.5-49]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',sep,tue,'\'(80.7-88.45]\'','\'(59.14-88.16]\'','\'(604.79-690.06]\'','\'(-inf-5.61]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',sep,fri,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(11.22-16.83]\'','\'(17.75-20.86]\'','\'(49-57.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',oct,sun,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(23.5-32]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(4.8-5.5]\'',mar,mon,'\'(80.7-88.45]\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(-inf-5.61]\'','\'(8.42-11.53]\'','\'(40.5-49]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(4.8-5.5]\'',sep,fri,'\'(88.45-inf)\'','\'(146.2-175.22]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(4.8-5.5]\'',oct,wed,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(604.79-690.06]\'','\'(-inf-5.61]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0
'\'(1.8-2.6]\'','\'(4.8-5.5]\'',oct,sun,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(32-40.5]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(5.5-6.2]\'',feb,sat,'\'(65.2-72.95]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(14.64-17.75]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(5.5-6.2]\'',mar,mon,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(11.53-14.64]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(5.5-6.2]\'',mar,sun,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(5.61-11.22]\'','\'(8.42-11.53]\'','\'(40.5-49]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0
'\'(3.4-4.2]\'','\'(5.5-6.2]\'',sep,thu,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(604.79-690.06]\'','\'(16.83-22.44]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(4.8-5.5]\'',mar,tue,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(14.64-17.75]\'','\'(32-40.5]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(4.8-5.5]\'',aug,sat,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(16.83-22.44]\'','\'(14.64-17.75]\'','\'(49-57.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(5.5-6.2]\'',sep,sun,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(57.5-66]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',0
'\'(2.6-3.4]\'','\'(5.5-6.2]\'',sep,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(57.5-66]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0
'\'(8.2-inf)\'','\'(8.3-inf)\'',jul,tue,'\'(80.7-88.45]\'','\'(30.12-59.14]\'','\'(263.71-348.98]\'','\'(-inf-5.61]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',0.36
'\'(-inf-1.8]\'','\'(3.4-4.1]\'',sep,tue,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0.43
'\'(1.8-2.6]\'','\'(4.8-5.5]\'',sep,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',0.47
'\'(-inf-1.8]\'','\'(-inf-2.7]\'',aug,wed,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(434.25-519.52]\'','\'(11.22-16.83]\'','\'(20.86-23.97]\'','\'(23.5-32]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',0.55
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,fri,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(519.52-604.79]\'','\'(11.22-16.83]\'','\'(20.86-23.97]\'','\'(49-57.5]\'','\'(8.5-inf)\'','\'(-inf-0.64]\'',0.61
'\'(-inf-1.8]\'','\'(-inf-2.7]\'',jul,sat,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(263.71-348.98]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(49-57.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0.71
'\'(1.8-2.6]\'','\'(4.8-5.5]\'',aug,wed,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(434.25-519.52]\'','\'(11.22-16.83]\'','\'(20.86-23.97]\'','\'(23.5-32]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0.77
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',aug,thu,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(27.08-30.19]\'','\'(-inf-23.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0.9
'\'(4.2-5]\'','\'(3.4-4.1]\'',mar,mon,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',0.95
'\'(7.4-8.2]\'','\'(2.7-3.4]\'',sep,tue,'\'(80.7-88.45]\'','\'(59.14-88.16]\'','\'(604.79-690.06]\'','\'(-inf-5.61]\'','\'(23.97-27.08]\'','\'(23.5-32]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',0.96
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',aug,tue,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(16.83-22.44]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',1.07
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',sep,thu,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(604.79-690.06]\'','\'(16.83-22.44]\'','\'(20.86-23.97]\'','\'(23.5-32]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',1.12
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',jun,fri,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(348.98-434.25]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',1.19
'\'(8.2-inf)\'','\'(8.3-inf)\'',jul,sun,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(348.98-434.25]\'','\'(5.61-11.22]\'','\'(23.97-27.08]\'','\'(23.5-32]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',1.36
'\'(2.6-3.4]\'','\'(3.4-4.1]\'',jul,sat,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(348.98-434.25]\'','\'(5.61-11.22]\'','\'(23.97-27.08]\'','\'(40.5-49]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',1.43
'\'(4.2-5]\'','\'(3.4-4.1]\'',sep,fri,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(11.22-16.83]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',1.46
'\'(-inf-1.8]\'','\'(4.8-5.5]\'',sep,sat,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(27.08-30.19]\'','\'(23.5-32]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',1.46
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',aug,sun,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(16.83-22.44]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',1.56
'\'(1.8-2.6]\'','\'(3.4-4.1]\'',sep,sat,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(27.08-30.19]\'','\'(23.5-32]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',1.61
'\'(1.8-2.6]\'','\'(-inf-2.7]\'',aug,wed,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',1.63
'\'(1.8-2.6]\'','\'(3.4-4.1]\'',aug,wed,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',1.64
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',sep,fri,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(11.22-16.83]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',1.69
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',mar,mon,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(23.5-32]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',1.75
'\'(5.8-6.6]\'','\'(3.4-4.1]\'',aug,thu,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',1.9
'\'(5.8-6.6]\'','\'(2.7-3.4]\'',mar,sat,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(23.5-32]\'','\'(7.6-8.5]\'','\'(-inf-0.64]\'',1.94
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',sep,sat,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(49-57.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',1.95
'\'(7.4-8.2]\'','\'(4.8-5.5]\'',sep,sun,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(690.06-775.33]\'','\'(-inf-5.61]\'','\'(17.75-20.86]\'','\'(66-74.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',2.01
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',mar,thu,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(-inf-5.31]\'','\'(66-74.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',2.14
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',aug,wed,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',2.29
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',aug,wed,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(11.22-16.83]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',2.51
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',mar,fri,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(11.22-16.83]\'','\'(11.53-14.64]\'','\'(23.5-32]\'','\'(8.5-inf)\'','\'(-inf-0.64]\'',2.53
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,thu,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',2.55
'\'(4.2-5]\'','\'(3.4-4.1]\'',sep,wed,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(32-40.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',2.57
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,wed,'\'(80.7-88.45]\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(49-57.5]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',2.69
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',aug,sun,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',2.74
'\'(3.4-4.2]\'','\'(3.4-4.1]\'',sep,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(32-40.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',3.07
'\'(-inf-1.8]\'','\'(3.4-4.1]\'',aug,sat,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(49-57.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',3.5
'\'(-inf-1.8]\'','\'(3.4-4.1]\'',aug,sat,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',4.53
'\'(5.8-6.6]\'','\'(4.8-5.5]\'',apr,thu,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(5.31-8.42]\'','\'(49-57.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',4.61
'\'(1.8-2.6]\'','\'(4.8-5.5]\'',aug,sun,'\'(88.45-inf)\'','\'(88.16-117.18]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',4.69
'\'(1.8-2.6]\'','\'(4.8-5.5]\'',sep,wed,'\'(88.45-inf)\'','\'(59.14-88.16]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(17.75-20.86]\'','\'(40.5-49]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',4.88
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,tue,'\'(88.45-inf)\'','\'(146.2-175.22]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(57.5-66]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',5.23
'\'(-inf-1.8]\'','\'(2.7-3.4]\'',sep,sun,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(23.5-32]\'','\'(5.8-6.7]\'','\'(-inf-0.64]\'',5.33
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',oct,mon,'\'(80.7-88.45]\'','\'(30.12-59.14]\'','\'(604.79-690.06]\'','\'(-inf-5.61]\'','\'(17.75-20.86]\'','\'(23.5-32]\'','\'(3.1-4]\'','\'(-inf-0.64]\'',5.44
'\'(4.2-5]\'','\'(3.4-4.1]\'',feb,sun,'\'(80.7-88.45]\'','\'(-inf-30.12]\'','\'(-inf-93.17]\'','\'(-inf-5.61]\'','\'(11.53-14.64]\'','\'(49-57.5]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',6.38
'\'(6.6-7.4]\'','\'(3.4-4.1]\'',oct,mon,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',6.83
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',aug,fri,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(519.52-604.79]\'','\'(11.22-16.83]\'','\'(17.75-20.86]\'','\'(32-40.5]\'','\'(4-4.9]\'','\'(-inf-0.64]\'',6.96
'\'(1.8-2.6]\'','\'(4.8-5.5]\'',sep,tue,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(690.06-775.33]\'','\'(5.61-11.22]\'','\'(14.64-17.75]\'','\'(40.5-49]\'','\'(2.2-3.1]\'','\'(-inf-0.64]\'',7.04
'\'(7.4-8.2]\'','\'(5.5-6.2]\'',mar,sun,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(93.17-178.44]\'','\'(5.61-11.22]\'','\'(8.42-11.53]\'','\'(32-40.5]\'','\'(4.9-5.8]\'','\'(-inf-0.64]\'',7.19
'\'(-inf-1.8]\'','\'(4.8-5.5]\'',sep,mon,'\'(88.45-inf)\'','\'(117.18-146.2]\'','\'(604.79-690.06]\'','\'(5.61-11.22]\'','\'(20.86-23.97]\'','\'(40.5-49]\'','\'(1.3-2.2]\'','\'(-inf-0.64]\'',7.3
'\'(5.8-6.6]\'','\'(3.4-4.1]\'',mar,sat,'\'(88.45-inf)\'','\'(30.12-59.14]\'','\'(-inf-93.17]\'','\'(5.61-11.22]\'','\'(11.53-14.64]\'','\'(40.5-49]\'','\'(-inf-1.3]\'','\'(-inf-0.64]\'',7.4
